127.0.0.1 - - [18/Nov/2024:22:43:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:12 +0530] "GET /FoodApp/Login.jsp HTTP/1.1" 200 3526
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:18 +0530] "POST /FoodApp/loginData HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:18 +0530] "GET /FoodApp/getrestaurant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:18 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:20 +0530] "GET /FoodApp/getmenu?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:20 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24611
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:23 +0530] "POST /FoodApp/addcartcntrl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:23 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24836
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:25 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:28 +0530] "POST /FoodApp/updateCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:28 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:43:32 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:47:12 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:47:14 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:47:22 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 5626
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:48:54 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 5626
0:0:0:0:0:0:0:1 - - [18/Nov/2024:22:51:17 +0530] "GET /FoodApp/checkout.jsp HTTP/1.1" 200 7675
